step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,C_stopped,C_accumulated_waiting_time,C_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1065.0,3,18.0,0.5454545454545454,10.909559944002156,3,18.0,0.7282980286631267,3,18.0
1070.0,1,1.0,0.03225806451612903,10.264598675780892,1,1.0,0.7006632698003727,1,1.0
1075.0,4,15.0,0.5172413793103449,9.791575570595052,3,13.0,0.6438943574288284,3,13.0
1080.0,6,36.0,1.3846153846153846,9.020587023830062,5,31.0,0.4745415710482643,5,31.0
1085.0,1,1.0,0.029411764705882353,10.29843015794922,1,5.0,0.8165763939250239,1,5.0
1090.0,1,3.0,0.09375,11.099432537772497,1,3.0,0.7658250094520976,1,3.0
1095.0,3,17.0,0.5862068965517241,11.160736887270298,3,17.0,0.7059696444600224,3,17.0
1100.0,3,6.0,0.2,8.552855177020101,3,9.0,0.5298023819030503,3,9.0
1105.0,6,31.0,0.96875,9.291158260494749,5,28.0,0.6487607498012044,5,28.0
1110.0,6,57.0,1.78125,9.501326062027442,5,55.0,0.6036917191827691,5,55.0
1115.0,8,84.0,2.3333333333333335,9.629444844815284,8,90.0,0.5786733804507544,8,90.0
1120.0,2,2.0,0.058823529411764705,8.924576139038725,1,19.0,0.6647848930258007,1,19.0
1125.0,7,26.0,0.8387096774193549,7.584566372124354,4,20.0,0.49561325463131023,4,20.0
1130.0,9,56.0,1.5555555555555556,8.495066894720743,7,48.0,0.5380904181738848,7,48.0
1135.0,1,1.0,0.02564102564102564,9.702369073973543,1,33.0,0.6657559524120729,1,33.0
1140.0,4,10.0,0.2857142857142857,10.610641222986937,1,3.0,0.7765180339770071,1,3.0
1145.0,3,13.0,0.3611111111111111,10.70514151841859,3,13.0,0.7761948317191815,3,13.0
1150.0,2,4.0,0.12121212121212122,10.551178949439016,2,4.0,0.7716970528830328,2,4.0
1155.0,2,14.0,0.4,11.108898171897064,2,14.0,0.7058632872296986,2,14.0
1160.0,5,33.0,1.1379310344827587,10.387862004631483,4,32.0,0.6538788167254087,4,32.0
