controller,seed,vtype,time_loss
green_wave,42,car,11.56
green_wave,42,moto,20.59
green_wave,42,moto,3.53
green_wave,42,car,19.81
green_wave,42,moto,16.16
green_wave,42,moto,17.63
green_wave,42,car,19.08
green_wave,42,moto,19.17
green_wave,42,auto,23.56
green_wave,42,moto,15.72
green_wave,42,moto,13.77
green_wave,42,auto,10.34
green_wave,42,auto,21.72
green_wave,42,car,17.72
green_wave,42,auto,13.88
green_wave,42,moto,10.01
green_wave,42,moto,23.85
green_wave,42,auto,13.45
green_wave,42,auto,18.23
green_wave,42,car,28.41
green_wave,42,auto,9.95
green_wave,42,moto,21.31
green_wave,42,moto,15.52
green_wave,42,auto,5.97
green_wave,42,auto,1.57
green_wave,42,moto,16.09
green_wave,42,moto,2.5
green_wave,42,car,1.72
green_wave,42,auto,19.58
green_wave,42,moto,22.19
green_wave,42,auto,15.32
green_wave,42,car,33.21
green_wave,42,car,21.77
green_wave,42,moto,21.54
green_wave,42,moto,17.39
green_wave,42,moto,11.14
green_wave,42,moto,26.99
green_wave,42,moto,9.13
green_wave,42,car,23.96
green_wave,42,moto,18.56
green_wave,42,moto,18.55
green_wave,42,moto,2.06
green_wave,42,auto,17.85
green_wave,42,moto,13.36
green_wave,42,moto,21.49
green_wave,42,auto,21.23
green_wave,42,moto,16.27
green_wave,42,moto,21.73
green_wave,42,car,11.97
green_wave,42,moto,2.37
green_wave,42,car,30.8
green_wave,42,auto,4.54
green_wave,42,moto,1.53
green_wave,42,moto,12.07
green_wave,42,moto,9.75
green_wave,42,moto,4.9
green_wave,42,moto,18.65
green_wave,42,auto,1.12
green_wave,42,car,21.76
green_wave,42,moto,19.43
green_wave,42,car,38.31
green_wave,42,car,26.91
green_wave,42,moto,17.46
green_wave,42,moto,6.9
green_wave,42,moto,14.47
green_wave,42,car,24.62
green_wave,42,moto,21.81
green_wave,42,auto,3.55
green_wave,42,moto,13.97
green_wave,42,moto,12.41
green_wave,42,moto,3.23
green_wave,42,moto,18.32
green_wave,42,car,28.47
green_wave,42,moto,11.1
green_wave,42,moto,5.06
green_wave,42,moto,37.18
green_wave,42,car,15.71
green_wave,42,auto,33.29
green_wave,42,moto,19.5
green_wave,42,auto,2.38
green_wave,42,moto,25.12
green_wave,42,moto,24.88
green_wave,42,auto,4.75
green_wave,42,moto,3.59
green_wave,42,moto,35.04
green_wave,42,auto,5.43
green_wave,42,auto,17.4
green_wave,42,moto,21.03
green_wave,42,moto,2.26
green_wave,42,moto,18.08
green_wave,42,car,16.61
green_wave,42,moto,22.97
green_wave,42,moto,8.51
green_wave,42,auto,20.16
green_wave,42,moto,26.14
green_wave,42,car,5.9
green_wave,42,moto,17.21
green_wave,42,moto,6.08
green_wave,42,moto,29.46
green_wave,42,moto,24.28
green_wave,42,moto,5.07
green_wave,42,auto,15.98
green_wave,42,auto,6.47
green_wave,42,auto,15.78
green_wave,42,moto,27.93
green_wave,42,car,20.79
green_wave,42,moto,13.48
green_wave,42,moto,19.31
green_wave,42,auto,21.27
green_wave,42,moto,4.63
green_wave,42,moto,4.59
green_wave,42,car,23.54
green_wave,42,car,16.64
green_wave,42,auto,12.04
green_wave,42,moto,9.15
green_wave,42,moto,5.0
green_wave,42,moto,26.67
green_wave,42,moto,23.47
green_wave,42,moto,5.11
green_wave,42,moto,5.77
green_wave,42,auto,15.48
green_wave,42,moto,19.56
green_wave,42,moto,20.29
green_wave,42,auto,12.03
green_wave,42,auto,23.22
green_wave,42,moto,4.55
green_wave,42,auto,3.56
green_wave,42,car,4.41
green_wave,42,car,6.41
green_wave,42,car,18.36
green_wave,42,moto,2.98
green_wave,42,moto,4.26
green_wave,42,moto,7.59
green_wave,42,moto,1.72
green_wave,42,car,21.74
green_wave,42,moto,14.44
green_wave,42,moto,15.97
green_wave,42,moto,11.6
green_wave,42,auto,1.99
green_wave,42,moto,15.57
green_wave,42,car,13.64
green_wave,42,auto,9.16
green_wave,42,moto,17.65
green_wave,42,auto,9.63
green_wave,42,moto,7.46
green_wave,42,moto,15.97
green_wave,42,moto,6.71
green_wave,42,car,10.76
green_wave,42,car,9.78
green_wave,42,auto,4.3
green_wave,42,moto,6.89
green_wave,42,auto,1.53
green_wave,42,auto,3.03
green_wave,42,auto,2.99
green_wave,42,moto,9.82
green_wave,42,auto,10.17
green_wave,42,car,6.19
green_wave,42,auto,20.64
green_wave,42,moto,3.48
green_wave,42,moto,17.88
green_wave,42,moto,19.9
green_wave,42,auto,11.46
green_wave,42,moto,19.81
green_wave,42,car,15.11
green_wave,42,car,7.15
green_wave,42,car,19.8
green_wave,42,moto,6.9
green_wave,42,moto,15.83
green_wave,42,moto,24.36
green_wave,42,moto,21.52
green_wave,42,car,13.16
green_wave,42,moto,26.03
green_wave,42,moto,8.77
green_wave,42,car,8.19
green_wave,42,auto,3.65
green_wave,42,auto,0.98
green_wave,42,auto,12.58
green_wave,42,auto,8.42
green_wave,42,moto,2.93
green_wave,42,auto,1.46
green_wave,42,moto,25.08
green_wave,42,moto,6.84
green_wave,42,car,20.58
green_wave,42,auto,3.13
green_wave,42,auto,12.86
green_wave,42,car,22.84
green_wave,42,auto,9.47
green_wave,42,auto,17.66
green_wave,42,moto,19.89
green_wave,42,moto,4.36
green_wave,42,moto,4.92
green_wave,42,moto,15.73
green_wave,42,car,18.35
green_wave,42,moto,14.67
green_wave,42,auto,10.19
green_wave,42,moto,20.62
green_wave,42,car,16.99
green_wave,42,auto,16.35
green_wave,42,car,22.3
green_wave,42,moto,3.72
green_wave,42,car,11.31
green_wave,42,moto,18.84
green_wave,42,moto,23.02
green_wave,42,moto,21.07
green_wave,42,moto,18.04
green_wave,42,moto,44.2
green_wave,42,moto,22.76
green_wave,42,car,21.1
green_wave,42,car,25.84
green_wave,42,auto,24.86
green_wave,42,moto,8.83
green_wave,42,moto,15.05
green_wave,42,moto,4.07
green_wave,42,moto,15.47
green_wave,42,moto,17.93
green_wave,42,moto,1.98
green_wave,42,moto,16.83
green_wave,42,car,20.29
green_wave,42,auto,14.92
green_wave,42,auto,7.15
green_wave,42,auto,15.54
green_wave,42,car,1.63
green_wave,42,moto,3.79
green_wave,42,moto,24.75
green_wave,42,moto,24.33
green_wave,42,moto,10.81
green_wave,42,moto,17.93
green_wave,42,moto,12.48
green_wave,42,moto,6.27
green_wave,42,moto,19.09
green_wave,42,auto,14.76
green_wave,42,auto,15.69
green_wave,42,moto,12.63
green_wave,42,auto,14.67
green_wave,42,moto,9.85
green_wave,42,moto,10.87
green_wave,42,moto,12.97
green_wave,42,moto,19.66
green_wave,42,car,15.43
