controller,span,t,ts,phase,halting,vehicles
green_wave,400,350.0,C2,0,1,1
green_wave,400,350.0,C3,1,0,8
green_wave,400,350.0,C3_E,-1,0,0
green_wave,400,355.0,C1,1,0,3
green_wave,400,355.0,C2,0,1,8
green_wave,400,355.0,C3,1,0,5
green_wave,400,355.0,C3_E,-1,0,4
green_wave,400,360.0,C1,1,0,3
green_wave,400,360.0,C2,0,1,9
green_wave,400,360.0,C3,1,0,2
green_wave,400,360.0,C3_E,-1,0,6
green_wave,400,365.0,C1,0,0,4
green_wave,400,365.0,C2,1,0,9
green_wave,400,365.0,C3,0,1,1
green_wave,400,365.0,C3_E,-1,0,8
green_wave,400,370.0,C1,0,2,4
green_wave,400,370.0,C2,1,0,2
green_wave,400,370.0,C3,0,1,7
green_wave,400,370.0,C3_E,-1,0,5
green_wave,400,375.0,C1,0,3,6
green_wave,400,375.0,C2,1,0,1
green_wave,400,375.0,C3,0,1,10
green_wave,400,375.0,C3_E,-1,0,4
green_wave,400,380.0,C1,1,0,3
green_wave,400,380.0,C2,0,0,1
green_wave,400,380.0,C3,1,0,9
green_wave,400,380.0,C3_E,-1,0,0
green_wave,400,385.0,C1,1,0,4
green_wave,400,385.0,C2,0,1,5
green_wave,400,385.0,C3,1,0,3
green_wave,400,385.0,C3_E,-1,0,6
green_wave,400,390.0,C1,1,0,3
green_wave,400,390.0,C2,0,1,6
green_wave,400,390.0,C3,1,0,0
green_wave,400,390.0,C3_E,-1,0,10
green_wave,400,395.0,C1,0,1,3
green_wave,400,395.0,C2,1,0,5
green_wave,400,395.0,C3,0,0,0
green_wave,400,395.0,C3_E,-1,0,10
green_wave,400,400.0,C1,0,2,5
green_wave,400,400.0,C2,1,0,2
green_wave,400,400.0,C3,0,0,5
green_wave,400,400.0,C3_E,-1,0,5
green_wave,400,405.0,C1,0,3,7
green_wave,400,405.0,C2,1,0,1
green_wave,400,405.0,C3,0,0,6
green_wave,400,405.0,C3_E,-1,0,0
green_wave,400,410.0,C1,1,0,6
green_wave,400,410.0,C2,0,0,0
green_wave,400,410.0,C3,1,0,6
green_wave,400,410.0,C3_E,-1,0,0
green_wave,400,415.0,C1,1,0,4
green_wave,400,415.0,C2,0,0,3
green_wave,400,415.0,C3,1,0,2
green_wave,400,415.0,C3_E,-1,0,3
green_wave,400,420.0,C1,1,0,3
green_wave,400,420.0,C2,0,0,5
green_wave,400,420.0,C3,1,0,1
green_wave,400,420.0,C3_E,-1,0,6
green_wave,400,425.0,C1,0,0,5
green_wave,400,425.0,C2,1,0,8
green_wave,400,425.0,C3,0,1,1
green_wave,400,425.0,C3_E,-1,0,5
green_wave,400,430.0,C1,0,1,5
green_wave,400,430.0,C2,1,0,3
green_wave,400,430.0,C3,0,1,4
green_wave,400,430.0,C3_E,-1,0,2
green_wave,400,435.0,C1,0,2,8
green_wave,400,435.0,C2,1,0,2
green_wave,400,435.0,C3,0,1,7
green_wave,400,435.0,C3_E,-1,0,0
green_wave,400,440.0,C1,1,0,6
green_wave,400,440.0,C2,0,1,2
green_wave,400,440.0,C3,1,0,6
green_wave,400,440.0,C3_E,-1,0,0
green_wave,400,445.0,C1,1,0,7
green_wave,400,445.0,C2,0,2,7
green_wave,400,445.0,C3,1,0,2
green_wave,400,445.0,C3_E,-1,0,3
green_wave,400,450.0,C1,1,0,7
green_wave,400,450.0,C2,0,2,7
green_wave,400,450.0,C3,1,0,0
green_wave,400,450.0,C3_E,-1,0,7
green_wave,400,455.0,C1,0,2,7
green_wave,400,455.0,C2,1,0,7
green_wave,400,455.0,C3,0,0,0
green_wave,400,455.0,C3_E,-1,0,7
green_wave,400,460.0,C1,0,3,10
green_wave,400,460.0,C2,1,0,3
green_wave,400,460.0,C3,0,0,4
green_wave,400,460.0,C3_E,-1,0,3
green_wave,400,465.0,C1,0,6,12
green_wave,400,465.0,C2,1,0,1
green_wave,400,465.0,C3,0,0,7
green_wave,400,465.0,C3_E,-1,0,0
green_wave,400,470.0,C1,1,1,9
green_wave,400,470.0,C2,0,0,1
green_wave,400,470.0,C3,1,0,8
green_wave,400,470.0,C3_E,-1,0,0
green_wave,400,475.0,C1,1,0,5
green_wave,400,475.0,C2,0,1,7
green_wave,400,475.0,C3,1,0,3
green_wave,400,475.0,C3_E,-1,0,3
green_wave,400,480.0,C1,1,0,3
green_wave,400,480.0,C2,0,1,13
green_wave,400,480.0,C3,1,0,1
green_wave,400,480.0,C3_E,-1,0,6
green_wave,400,485.0,C1,0,0,5
green_wave,400,485.0,C2,1,0,12
green_wave,400,485.0,C3,0,1,1
green_wave,400,485.0,C3_E,-1,0,6
green_wave,400,490.0,C1,0,0,7
green_wave,400,490.0,C2,1,0,5
green_wave,400,490.0,C3,0,1,8
green_wave,400,490.0,C3_E,-1,0,6
green_wave,400,495.0,C1,0,1,12
green_wave,400,495.0,C2,1,0,1
green_wave,400,495.0,C3,0,1,13
green_wave,400,495.0,C3_E,-1,0,2
green_wave,400,500.0,C1,1,0,11
green_wave,400,500.0,C2,0,1,1
green_wave,400,500.0,C3,1,0,11
green_wave,400,500.0,C3_E,-1,0,1
green_wave,400,505.0,C1,1,0,8
green_wave,400,505.0,C2,0,1,7
green_wave,400,505.0,C3,1,0,5
green_wave,400,505.0,C3_E,-1,0,7
green_wave,400,510.0,C1,1,0,5
green_wave,400,510.0,C2,0,1,10
green_wave,400,510.0,C3,1,0,0
green_wave,400,510.0,C3_E,-1,0,12
green_wave,400,515.0,C1,0,1,5
green_wave,400,515.0,C2,1,0,12
green_wave,400,515.0,C3,0,0,0
green_wave,400,515.0,C3_E,-1,0,12
green_wave,400,520.0,C1,0,2,5
green_wave,400,520.0,C2,1,0,6
green_wave,400,520.0,C3,0,0,3
green_wave,400,520.0,C3_E,-1,0,7
green_wave,400,525.0,C1,0,3,8
green_wave,400,525.0,C2,1,0,2
green_wave,400,525.0,C3,0,0,10
green_wave,400,525.0,C3_E,-1,0,2
green_wave,400,530.0,C1,1,0,6
green_wave,400,530.0,C2,0,0,1
green_wave,400,530.0,C3,1,0,12
green_wave,400,530.0,C3_E,-1,0,0
green_wave,400,535.0,C1,1,0,6
green_wave,400,535.0,C2,0,1,5
green_wave,400,535.0,C3,1,0,10
green_wave,400,535.0,C3_E,-1,0,1
green_wave,400,540.0,C1,1,0,5
green_wave,400,540.0,C2,0,1,7
green_wave,400,540.0,C3,1,0,1
green_wave,400,540.0,C3_E,-1,0,8
green_wave,400,545.0,C1,0,0,6
green_wave,400,545.0,C2,1,0,8
green_wave,400,545.0,C3,0,1,1
green_wave,400,545.0,C3_E,-1,0,11
green_wave,400,550.0,C1,0,2,10
green_wave,400,550.0,C2,1,0,6
green_wave,400,550.0,C3,0,1,3
green_wave,400,550.0,C3_E,-1,0,11
green_wave,400,555.0,C1,0,4,12
green_wave,400,555.0,C2,1,0,1
green_wave,400,555.0,C3,0,1,8
green_wave,400,555.0,C3_E,-1,0,7
green_wave,400,560.0,C1,1,0,9
green_wave,400,560.0,C2,0,0,0
green_wave,400,560.0,C3,1,0,9
green_wave,400,560.0,C3_E,-1,0,0
green_wave,400,565.0,C1,1,0,8
green_wave,400,565.0,C2,0,0,6
green_wave,400,565.0,C3,1,0,7
green_wave,400,565.0,C3_E,-1,0,2
green_wave,400,570.0,C1,1,0,8
green_wave,400,570.0,C2,0,0,11
green_wave,400,570.0,C3,1,0,2
green_wave,400,570.0,C3_E,-1,0,6
green_wave,400,575.0,C1,0,0,10
green_wave,400,575.0,C2,1,0,11
green_wave,400,575.0,C3,0,1,1
green_wave,400,575.0,C3_E,-1,0,9
green_wave,400,580.0,C1,0,3,12
green_wave,400,580.0,C2,1,0,6
green_wave,400,580.0,C3,0,1,5
green_wave,400,580.0,C3_E,-1,0,7
green_wave,400,585.0,C1,0,4,13
green_wave,400,585.0,C2,1,0,0
green_wave,400,585.0,C3,0,1,11
green_wave,400,585.0,C3_E,-1,0,4
green_wave,400,590.0,C1,1,4,12
green_wave,400,590.0,C2,0,0,0
green_wave,400,590.0,C3,1,0,11
green_wave,400,590.0,C3_E,-1,0,0
green_wave,400,595.0,C1,1,0,11
green_wave,400,595.0,C2,0,0,5
green_wave,400,595.0,C3,1,0,6
green_wave,400,595.0,C3_E,-1,0,5
green_wave,400,600.0,C1,1,0,8
green_wave,400,600.0,C2,0,0,12
green_wave,400,600.0,C3,1,0,1
green_wave,400,600.0,C3_E,-1,0,10
green_wave,400,605.0,C1,0,0,9
green_wave,400,605.0,C2,1,0,13
green_wave,400,605.0,C3,0,0,0
green_wave,400,605.0,C3_E,-1,0,12
green_wave,400,610.0,C1,0,2,11
green_wave,400,610.0,C2,1,0,7
green_wave,400,610.0,C3,0,0,4
green_wave,400,610.0,C3_E,-1,0,11
green_wave,400,615.0,C1,0,6,13
green_wave,400,615.0,C2,1,0,1
green_wave,400,615.0,C3,0,0,10
green_wave,400,615.0,C3_E,-1,0,3
green_wave,400,620.0,C1,1,2,13
green_wave,400,620.0,C2,0,1,1
green_wave,400,620.0,C3,1,0,11
green_wave,400,620.0,C3_E,-1,0,0
green_wave,400,625.0,C1,1,0,8
green_wave,400,625.0,C2,0,1,8
green_wave,400,625.0,C3,1,0,7
green_wave,400,625.0,C3_E,-1,0,3
green_wave,400,630.0,C1,1,0,6
green_wave,400,630.0,C2,0,1,13
green_wave,400,630.0,C3,1,0,2
green_wave,400,630.0,C3_E,-1,0,9
green_wave,400,635.0,C1,0,1,9
green_wave,400,635.0,C2,1,0,12
green_wave,400,635.0,C3,0,1,1
green_wave,400,635.0,C3_E,-1,0,10
green_wave,400,640.0,C1,0,5,11
green_wave,400,640.0,C2,1,0,7
green_wave,400,640.0,C3,0,1,4
green_wave,400,640.0,C3_E,-1,0,8
green_wave,400,645.0,C1,0,6,13
green_wave,400,645.0,C2,1,0,1
green_wave,400,645.0,C3,0,1,10
green_wave,400,645.0,C3_E,-1,0,2
green_wave,400,650.0,C1,1,1,10
green_wave,400,650.0,C2,0,0,0
green_wave,400,650.0,C3,1,0,13
green_wave,400,650.0,C3_E,-1,0,0
green_wave,400,655.0,C1,1,0,6
green_wave,400,655.0,C2,0,0,7
green_wave,400,655.0,C3,1,0,10
green_wave,400,655.0,C3_E,-1,0,1
green_wave,400,660.0,C1,1,0,5
green_wave,400,660.0,C2,0,0,12
green_wave,400,660.0,C3,1,0,4
green_wave,400,660.0,C3_E,-1,0,9
green_wave,400,665.0,C1,0,1,7
green_wave,400,665.0,C2,1,0,12
green_wave,400,665.0,C3,0,2,4
green_wave,400,665.0,C3_E,-1,0,10
green_wave,400,670.0,C1,0,2,9
green_wave,400,670.0,C2,1,0,5
green_wave,400,670.0,C3,0,4,10
green_wave,400,670.0,C3_E,-1,0,10
green_wave,400,675.0,C1,0,4,12
green_wave,400,675.0,C2,1,0,1
green_wave,400,675.0,C3,0,4,15
green_wave,400,675.0,C3_E,-1,0,2
green_wave,400,680.0,C1,1,1,9
green_wave,400,680.0,C2,0,0,1
green_wave,400,680.0,C3,1,0,12
green_wave,400,680.0,C3_E,-1,0,0
green_wave,400,685.0,C1,1,0,6
green_wave,400,685.0,C2,0,1,8
green_wave,400,685.0,C3,1,0,6
green_wave,400,685.0,C3_E,-1,0,7
green_wave,400,690.0,C1,1,0,4
green_wave,400,690.0,C2,0,1,13
green_wave,400,690.0,C3,1,0,1
green_wave,400,690.0,C3_E,-1,0,13
green_wave,400,695.0,C1,0,1,5
green_wave,400,695.0,C2,1,0,11
green_wave,400,695.0,C3,0,1,1
green_wave,400,695.0,C3_E,-1,0,13
green_wave,400,700.0,C1,0,2,8
green_wave,400,700.0,C2,1,0,5
green_wave,400,700.0,C3,0,1,7
green_wave,400,700.0,C3_E,-1,0,9
green_wave,400,705.0,C1,0,3,10
green_wave,400,705.0,C2,1,0,1
green_wave,400,705.0,C3,0,1,13
green_wave,400,705.0,C3_E,-1,0,3
green_wave,400,710.0,C1,1,0,6
green_wave,400,710.0,C2,0,0,0
green_wave,400,710.0,C3,1,0,11
green_wave,400,710.0,C3_E,-1,0,0
green_wave,400,715.0,C1,1,0,4
green_wave,400,715.0,C2,0,0,5
green_wave,400,715.0,C3,1,0,8
green_wave,400,715.0,C3_E,-1,0,5
green_wave,400,720.0,C1,1,0,4
green_wave,400,720.0,C2,0,0,10
green_wave,400,720.0,C3,1,0,1
green_wave,400,720.0,C3_E,-1,0,9
green_wave,400,725.0,C1,0,0,6
green_wave,400,725.0,C2,1,0,8
green_wave,400,725.0,C3,0,0,1
green_wave,400,725.0,C3_E,-1,0,12
green_wave,400,730.0,C1,0,0,9
green_wave,400,730.0,C2,1,0,3
green_wave,400,730.0,C3,0,1,5
green_wave,400,730.0,C3_E,-1,0,8
green_wave,400,735.0,C1,0,3,9
green_wave,400,735.0,C2,1,0,0
green_wave,400,735.0,C3,0,1,10
green_wave,400,735.0,C3_E,-1,0,5
green_wave,400,740.0,C1,1,0,6
green_wave,400,740.0,C2,0,0,0
green_wave,400,740.0,C3,1,0,9
green_wave,400,740.0,C3_E,-1,0,2
green_wave,400,745.0,C1,1,0,3
green_wave,400,745.0,C2,0,0,6
green_wave,400,745.0,C3,1,0,3
green_wave,400,745.0,C3_E,-1,0,6
green_wave,400,750.0,C1,1,0,4
green_wave,400,750.0,C2,0,0,9
green_wave,400,750.0,C3,1,0,1
green_wave,400,750.0,C3_E,-1,0,9
green_wave,400,755.0,C1,0,0,4
green_wave,400,755.0,C2,1,0,7
green_wave,400,755.0,C3,0,0,0
green_wave,400,755.0,C3_E,-1,0,10
green_wave,400,760.0,C1,0,3,4
green_wave,400,760.0,C2,1,0,2
green_wave,400,760.0,C3,0,0,6
green_wave,400,760.0,C3_E,-1,0,6
green_wave,400,765.0,C1,0,3,5
green_wave,400,765.0,C2,1,0,1
green_wave,400,765.0,C3,0,0,8
green_wave,400,765.0,C3_E,-1,0,2
green_wave,400,770.0,C1,1,0,5
green_wave,400,770.0,C2,0,1,1
green_wave,400,770.0,C3,1,0,6
green_wave,400,770.0,C3_E,-1,0,0
green_wave,400,775.0,C1,1,0,7
green_wave,400,775.0,C2,0,1,5
green_wave,400,775.0,C3,1,0,2
green_wave,400,775.0,C3_E,-1,0,5
green_wave,400,780.0,C1,1,0,8
green_wave,400,780.0,C2,0,1,5
green_wave,400,780.0,C3,1,0,0
green_wave,400,780.0,C3_E,-1,0,8
green_wave,400,785.0,C1,0,2,9
green_wave,400,785.0,C2,1,0,3
green_wave,400,785.0,C3,0,0,0
green_wave,400,785.0,C3_E,-1,0,6
green_wave,400,790.0,C1,0,4,11
green_wave,400,790.0,C2,1,0,0
green_wave,400,790.0,C3,0,0,5
green_wave,400,790.0,C3_E,-1,0,4
green_wave,400,795.0,C1,0,6,12
green_wave,400,795.0,C2,1,0,0
green_wave,400,795.0,C3,0,0,5
green_wave,400,795.0,C3_E,-1,0,0
green_wave,400,800.0,C1,1,2,9
green_wave,400,800.0,C2,0,0,0
green_wave,400,800.0,C3,1,0,4
green_wave,400,800.0,C3_E,-1,0,0
green_wave,400,805.0,C1,1,0,4
green_wave,400,805.0,C2,0,0,7
green_wave,400,805.0,C3,1,0,2
green_wave,400,805.0,C3_E,-1,0,3
green_wave,400,810.0,C1,1,0,6
green_wave,400,810.0,C2,0,0,11
green_wave,400,810.0,C3,1,0,0
green_wave,400,810.0,C3_E,-1,0,5
green_wave,400,815.0,C1,0,1,7
green_wave,400,815.0,C2,1,0,10
green_wave,400,815.0,C3,0,0,0
green_wave,400,815.0,C3_E,-1,0,4
green_wave,400,820.0,C1,0,3,8
green_wave,400,820.0,C2,1,0,6
green_wave,400,820.0,C3,0,0,3
green_wave,400,820.0,C3_E,-1,0,2
green_wave,400,825.0,C1,0,5,8
green_wave,400,825.0,C2,1,0,0
green_wave,400,825.0,C3,0,0,10
green_wave,400,825.0,C3_E,-1,0,1
green_wave,400,830.0,C1,1,0,5
green_wave,400,830.0,C2,0,0,0
green_wave,400,830.0,C3,1,0,10
green_wave,400,830.0,C3_E,-1,0,0
green_wave,400,835.0,C1,1,0,1
green_wave,400,835.0,C2,0,0,7
